1,Engineering,research and development,2008-04-30 00:00:00
2,Tool Design,research and development,2008-04-30 00:00:00
3,Sales,sales and marketing,2008-04-30 00:00:00
4,Marketing,sales and marketing,2008-04-30 00:00:00
5,Purchasing,inventory management,2008-04-30 00:00:00
6,Research and Development,research and development,2008-04-30 00:00:00
7,Production,manufacturing,2008-04-30 00:00:00
8,Production Control,manufacturing,2008-04-30 00:00:00
9,Human Resources,executive general and administration,2008-04-30 00:00:00
10,Finance,executive general and administration,2008-04-30 00:00:00
11,Information Services,executive general and administration,2008-04-30 00:00:00
12,Document Control,quality assurance,2008-04-30 00:00:00
13,Quality Assurance,quality assurance,2008-04-30 00:00:00
14,Facilities and Maintenance,executive general and administration,2008-04-30 00:00:00
15,Shipping and Receiving,inventory management,2008-04-30 00:00:00
16,Executive,executive general and administration,2008-04-30 00:00:00
